Sample,Ground Truth,Prediction,WER
76,victor lima mike,fix the limo i cant,166.67
1974,zero clear ils,so see you at ireland,166.67
503,six zero csa,thats it all in case,166.67
201,jetstar nine twelve,heads down on one two,166.67
991,csa four nine five praha radar radar contact descend flight level one,if you see phone on the phone to hurry down to read i read our contact is on flight of a month,166.67
2910,ready for departure,i will put it in for departure,166.67
1113,rapet one tw,go right ahead two zero,166.67
1873,india papa csa seven alfa juliett,uh yep papa charlie sierra alfa seven alfa lima papa hotel alfa two,166.67
1485,eight echo november,okay i think its over,166.67
2131,ing one six zero until fou,hit on hit on hit on hit on hit on,166.67
2791,radar good eve,alright ill go to you,166.67
854,hotel yankee saint martin six five thousand feet for landing fato,and now were going to go to the airport to see if we can get to the airport,163.64
1110,lufthansa zero seven yankee praha hello radar contact,hold on to the little something keep it out of the waycom please,162.5
207,four nine four hold short of runway one,if you want to go there i think im going to go there,162.5
1338,own navigation direct rapet lufthansa one romeo mike,ill navigate and direct an update of tango alfa november zulu one on your mic,162.5
2056,descending flight level one hundred,its turning parallel to one zero zero its here,160.0
665,tower csa seven six four,tower cc seven six four zero therell be a charity for you,160.0
2182,beste schone heli oscar zulu,thats it for now have a nice day,160.0
1504,tower one one eight one,and thats it for now thanks for watching,160.0
90,oscar kilo bravo yankee romeo,i have no idea what hes talking about,160.0
2631,three one kilo hotel runway three one cleared for takeoff,three one seven kilo india lima oscar tango alfa yankee air i know three one seven put a day off ciao,160.0
590,flight level three hundred austrian,it was at about three zero zero ill say,160.0
1717,direct to oscar kilo golf easy eight one six lima thank you,im going to go for echo zulu eight oscar november echo sierra india xray tango hotel india romeo tango yankee maam,158.33
98,o and intercept localizer runway three one,oh interesting what kind of weather do you want me in,157.14
1803,ruzyne tower csa seven three charlie ils,well be sure to send out a message to the charlie islands,157.14
1714,number two at sequence currently free speed,number two at sequence charlie oscar uniform november tango echo romeo foxtrot romeo echo echo speed,157.14
1445,lufthansa three charlie hotel praha radar co,thank you for watching and see you in the next video,157.14
739,one three four five six zero time air six nine zero juliett bye diky,one three four five six zero time may have sierra india xray november india november echo romeo zulu echo romeo oscar juliett oscar uniform lima echo tango hotel alright okay,157.14
2357,lufthansa eight romeo yankee paha radar contact,and i drama in keep the heart of rita and a radar contact,157.14
2798,one one eight three seven five nor shuttle one,one one eight three seven five nasr alfa lima whiskey alfa mike foxtrot nasr alfa lima whiskey alfa mike foxtrot,155.56
66,hello seven romeo golf ruzyne tower roger number three,i hope you enjoyed the video and ill see you in the next video,155.56
2622,hotel golf papa frequency change approved bis spater ciao,alfa uniform tango oscar golf oscar proper frequency change approved at bravo echo tango alfa juliett alfa whiskey,155.56
1507,ruzyne tower csa five victor papa ils three one,houston you have somebody to double you in yes sir copy go go go three one,155.56
831,s zero,is that all,150.0
1810,quality nine one romeo go ahead,cool it in i know im on my own go ahead,150.0
186,ntinue approach,whats up roger,150.0
120,baltu four,waterfall im on,150.0
253,and foxtrot,im fox six,150.0
2396,one one eight one,why dont they have musty shit,150.0
2875,hello easy eight zero nine bravo ruzyne tower,i dont know what to say i dont know what to say,150.0
1990,le golf de montana three thousand two hundred,look out for the montana and two zero zero zero tango hotel water,150.0
1421,munich one,four one zero one,150.0
1756,one four six seven beline one charlie lima,tom two six seven bravo lima india november echo mob charlie charlie mike oscar bravo,150.0
1701,no speed limit csa,i was feeling it just now,150.0
1711,three two two charlie zulu echo,charlie so whats up charlie is it lit i cant,150.0
982,cleared ils,weve had it,150.0
1559,fedex three four disregard,three four how do you do that,150.0
680,mike descen,keep my exten,150.0
2111,to fligh,thats a fly,150.0
1000,to four,of the force,150.0
1782,mike m,mike mike mike mike,150.0
1251,one two one nine csa five charlie tango,on to online and after she knows well be back shall we,150.0
829,heading si,and then uh,150.0
2402,approach runway,to approach and wait,150.0
2546,for departure,thank you for your departure,150.0
611,tower wizz air four xray zulu,cinta where are we were at four xj zulu and myself,150.0
1750,five romeo,bye for now,150.0
1832,wizz air,up with their,150.0
2763,beline one charlie lima hello radar contact maintain flight level three three zero maintaining beline one charlie lima,juliett alfa november one charlie lima hello radar contact mike echo tango alfa foxtrot alfa tango oscar three three zero mike echo tango alfa romeo india november golf bravo india november alfa lima alfa papa two lima,150.0
1884,bravo delta,uh bravo delta um um,150.0
1362,csa two zulu alfa,lets just take this off man,150.0
1630,one one eight three seven five csa five alfa juliett,one one eight three seven five charlie three papa a a a a a a a a a a a a,150.0
1069,euro trans,here it comes,150.0
1949,ok standby,okay stand by,150.0
1613,rogre one more landing,go ahead and try one more one ding,150.0
2577,after makal direct osk,hold the back over it yes,150.0
1478,hansa six lima yankee,thats it thats it thats it,150.0
2202,six zero confirm correct,three two zero can you hear me correct,150.0
1659,nine one romeo left heading two four zero,original alfa uniform tango oscar mike echo lima lima oscar whiskey weathering two four zero,150.0
38,starting holding over tango,i think were holding cover thank you,150.0
1327,inbound tusin,thank you patcheson,150.0
1309,csa four nine five direct ravik,you see phone on the fire that a carvick,150.0
2596,praha radar air berlin one on,uh radar uh airplane oscar november echo oscar november echo,150.0
2018,tusin now level three two zero alfa uniform lima nine two five three hello radar contact proceed to mikov,two sentinel level tango hotel romeo echo echo tango whiskey oscar zulu echo romeo oscar alpha uniform lima niner tango whiskey oscar foxtrot india victor echo tango hotel romeo echo echo hello radar contact proceed to mikov,147.37
727,praha german wings three one alfa descending level three five zero,ill be there im driving three one alfa lima papa hotel alfa golf sierra alfa yankee india november golf level three five zero,145.45
51,csa nine two delta line up runway three one and wait,if you want to do a lima india november echo uniform papa on way three go ahead and wait,145.45
2424,and follow one romeo arrival for runway three one ils approa,and dont forget to give us a thumbs up and dont forget to subscribe to our channel,145.45
197,to mikov klm one eight four seven,this is bravo golf oscar lima foxtrot hotel im on eight four seven,142.86
435,descend flight level seven zero speed bird eight five si,one zero decimal zero its one zero decimal zero its to be made for us,140.0
900,praha two seven nine hotel,prague wait for seven out of one zero,140.0
1059,ruzyne tower csa three charlie zulu establish ils one three,roger tower charlie charlie three c l u d o three v q s w s one three,140.0
1893,tower klm five six tango,tower whiskey one zero kilo november oscar five six tengo,140.0
1679,praha radar lufthansa one romeo mike good passing three thousand climbing five thousand,alright thats a good one well be micd well be a bit higher passing threezero zero zero by next cycle,138.46
329,uniform switching one two one three three three,six if youre in the form of switching go up to one two three three,137.5
1128,g five two one vacate via romeo expedite,the first one will be romeo xray papa romeo india delta echo,137.5
1294,line up runway one three csa four ni,ill be on my own thanks lets see if i can,137.5
1959,csa nine six seven ruzyne tower continue approach,do you know what is going to happen if we continue the approach,137.5
515,line up runway one three and wait csa eight two six,line up and have a good one three two one one one one one one one one one one,136.36
1287,flight level one zero zero to evemi csa six one nine,flight level one zero zero two have a nice day have a nice day have a nice day bye bye,136.36
2903,sixty till four miles one eighteen one csa four yankee alfa,cessna six two cessna two two cessna three charlie sierra alfa four november kilo alfa papa alfa,136.36
17,five five four two negative sir,the tension is five decimal five at two decimal zero negative,133.33
2666,hello radar contact,however it got complex,133.33
1928,two one zero,come on you know,133.33
2429,nine six t,yeah i think so,133.33
1311,three correction five,please approach the pump,133.33
1277,h emirates four,whats your name man,133.33
1435,climbing four thousand,summit fourzero zero zero,133.33
542,five one seven,i wont do it,133.33
2031,one three two,france one one two eight two,133.33
2169,to quebec aerosvit,thank you very much,133.33
1092,lufthansa seven three three approaching flight level three hundred,mission international mom lufthansa seven at charlie three emergency flight level three zero zero host for lufthansa seven,133.33
1495,en seven eight,have a good night,133.33
152,eed two six zero knots five five alfa two,and well be back in two six zero zero zero zero zero zero zero zero two,133.33
1221,tower good evening,how are you doing,133.33
2913,cleared takeoff run,clear to takeoff but ro,133.33
2375,praha radar ukraine charter five nine,uh i dont know how to do okay,133.33
1378,vo delta holding,what else am i holding,133.33
921,lufthansa three kilo alfa runway one three clear to land wind zero eight zero degrees six knots lufthansa three kilo alfa runway one three clear land,i want the three kilo oscar foxtrot foxtrot foxtrot india romeo echo on alfa one three kilo to november two zero alfa zero bravo six november i want the three kilo oscar foxtrot foxtrot foxtrot india romeo echo on alfa one three kilo to november nine,130.77
653,csa nine three delta turn right heading two four zero,cessna on a tango hotel romeo echo echo delta oscar oscar romeo content rendering two four zero,130.0
1248,clear takeoff runway three one swiss four seven three charlie,take off on the tango one swiss four three two do you appreciate nothing at all,130.0
1791,direct to landu onipon two zero seven,director hold on do you want to respond to zero seven,128.57
534,praha radar one two zero decimal two,thats alright i want to hear this one too,128.57
269,calibra four zero established ils three one,radio pull in the caliper four zero establish ils three one at the middle,128.57
1730,one decimal nine csa four eight one,charlie one charlie one i see charlie four is on official,128.57
2335,beline five three delta direct to isama,bravo lima india november echo five three delta echo lima tango alfa direct to isama,128.57
1407,aha radar good morning cargo lux seven,good morning charlie oscar victor india delta one nine seven,128.57
808,number one report final hotel echo xray,and we want to report final look at the correct space,128.57
2531,keep flight level three four zero inbound,people are never seen fine silver and so on,128.57
2923,roger qnh one zero one eight easy eight three whiskey gol,five tango alfa victor two nine one three one eight charlie charlie alfa two oscar tango oscar,127.27
558,praha radar zero three seven descend flight level one seven zero,charlie charlie charlie go to regression be confrontable one two and go to go to,127.27
343,fully esta established aero flot one four one,all right well be back in a couple of minutes,125.0
1482,we re maintain five,well be down by then,125.0
1788,roger stop at holding,watch out theyll be waiting,125.0
381,one seventy till four,one seven zero into a form,125.0
566,lining up runway one three csa nine si,good morning copy runway one three charlie cessna on the six tango hotel,125.0
1606,quality eight nine sierra,and quality eight nine zero lima is available,125.0
769,tower eighteen one csa,alright if you want to,125.0
2645,nine zero good bye,if not a little goodbye,125.0
1565,radar jobair zero seven papa inbound vlm descen,radio dobreno dobreno dober ese ropa uno papa in bongo laschimbe,125.0
2024,six climbing level three,its coming to the team,125.0
581,qality nine one romeo,cool it there nine one one ramao,125.0
2235,twenty aero flot one,green two i dont blood,125.0
2046,say again frequency for,second circuit two one one,125.0
1594,lufthansa six tango romeo expect further climb in few minutes from rhein controle,no ones there sierra india xray tango india november golf oscar rambo expect for a climb in a few minutes from hand control,123.08
159,lufthansa six hotel xray when ready descend flight level two five zero cro,and thats it for today thanks for watching and ill see you in the next one,123.08
1799,departure swiss four seven three charlie two eight hun,this is four seven zero c go ahead and do eight zero zero mike,122.22
1166,zero knots air france one,see you on the other side,120.0
561,full establish ils three on,ok five four establish out at three one,120.0
2303,seven two seven good bye,bravo yankee echo bravo yankee echo,120.0
1144,continue on the heading wizz,continue on the hotel echo alfa delta india november,120.0
2518,ar csa six three four,out of just this is six four,120.0
1440,three five one three five three whiskey w to praha,two nine one two nine two excuse me give us a little time,120.0
1674,ruzyne tower csa five six,is it down to charlie three five six,120.0
803,contract two romeo golf hello,contractor romeo go to the tower hello,120.0
2423,flight level three two zero,difanola three four zero that was reported,120.0
2916,descend flight level three two,mike five have a great day,120.0
1264,standing by singapoor two fi,sun is winding up on two five,120.0
1396,speed bird eight five fi,you should be with alfa five,120.0
1420,holding short one three ready,go full to short one three at delta still ready,120.0
2599,praha jobair zero eight one,now to be in to better zero eight one,120.0
1743,ruzyne tower csa seven e,pushing out the low bn csa seven eight,120.0
1862,tower csa two sierra lima ready csa two sierra lima ruzyne tower line up runway one three cleared for takeoff win,tower csc two zero lima the bridge i read it bridge csc two zero lima csc two zero good evening this is for tango alfa kilo echo oscar foxtrot foxtrot,119.05
1322,lufthansa six kilo victor praha hello radar contact descend flight level three hundred rapet at level,the sierra india xray kilo india lima oscar mike echo tango echo romeo parallel radar contact descent fall level three zero zero traffic level level,118.75
2475,wizz air four romeo papa sorry runway one three for landing,we have a foxtrot oscar lima lima oscar whiskey uniform papa sorry runway one three four i think,118.18
899,oscar kilo alfa lima zulu praha radar report rate of descend,we hope you enjoyed the video please like and subscribe to our channel,118.18
567,csa eight echo charlie contact ruzyne radar one one nine zero,if you liked this video please like share and subscribe to our channel,118.18
2556,descend flight level nine zero radar one one nine decimal zero,station for level nine i see the radar one one nine at the small scale its got a level zero,118.18
1655,one two one nine thank you,one two one nine thank you bravo yankee echo bravo yankee echo go,116.67
2752,wizz air four charlie bravo approachin,were there four johnny bye bye approach you,116.67
1314,radar five three three good morning,good afternoon im fine through to you good morning,116.67
2504,ruzyne tower csa two delta lima,rusnia tower csa two delta victor one top of the vhr,116.67
1931,one two zero two seven five,until zero to stand by for entry,116.67
359,direct agava lufthansa one papa kilo,right id rather look at the one four kilo,116.67
2881,heading el al five two one,i think theyre all uh left to,116.67
2726,tact ground sky travel one zero,thats it thats good thats level one,116.67
2414,praha lufthansa one five lima l,ill look at the one by primarily,116.67
1500,lufthansa nine kilo yankee established il,all of the night growing here established,116.67
708,praha lot three nine seven climbing,thank you for your attention two nine zero seven climbing,116.67
1012,csa five kilo papa reduce speed,you see frank up about a usb,116.67
1993,right heading one one zero cleared ils one three csa three charlie zulu,radio eight one one zero cleared lima sierra one three charlie sierra charlie three charlie hotel alfa romeo lima india echo one one,115.38
32,direct mikov new squawk one four six six wizz air four bravo papa,direct papa india charlie kilo oscar foxtrot foxtrot new spoke one four six six were there for you brava brava brava,115.38
1129,lufthansa six kilo yankee praha radar contact,los angeles six kilo and kilo brilliant raha data contacts,114.29
1940,praha hello ryan air eight foxtrot juliett descending flight level three five zero vambo,hello run a pop that you need to tell if i have a charlie five zero of bamboo,114.29
261,cleared immediate takeoff runway three one swi,clear to media takeoff one zero three decimal one thank you,114.29
2568,two four one zero el al five,thank you for all the things youve done,114.29
2918,direct mikov aero flot two seven three,i think im on a boat to turn,114.29
1575,back track to departure position opera three hun,yes correct the plane is in position thank you,112.5
2450,three one six five climbing two eight zero,so were down flaming three one alfa out of two six five flaming two eight zero,112.5
1210,proceed to mikov quality eight two five bravo,yes you are my quality and you deserve it all,112.5
2669,wizz air four foxtrot bravo praha radar contact,radio four fox seven bravo praha to brega and i got contact,112.5
1155,scending four thousand one zero two three lufthan,cessna fourzero zero zero with the romeo two tango lifted,112.5
2200,oscar kilo alfa lima zulu ready to de,ill start you off im gonna go early today,112.5
332,fedex one request flight level three six zero,so next time have a question fly in flight level three six zero out,112.5
2628,praha radar csa five alfa juliett two thousand feet,leveling prior radar charlie charlie five of agilent two zulu echo romeo oscar feet,111.11
2500,o kilo uniform india oscar kilo india uniform oscar,oskar kiyomiforom in the oskar kiyomiforom in the oskar yidnarva,111.11
1458,ruzyne tower lot five two papa ils three one,this is download five to papa to pretend i left you are,111.11
1268,hi three two cleared takeoff swiss ambulance six one,three two gate tango alfa kilo echo oscar foxtrot foxtrot cessamoland six one,111.11
2017,disregard nine zero only climb flight level nine ze,delta india golf india golf oscar delta nine of you only,111.11
2605,csa seven kilo golf establish ils runway one three,apollo six six seven go to go establish economic property,111.11
1412,zyne tower wizz air five november ils runway three one,i think our radar was five zero zero at last on eight three one,110.0
612,jobair zero seven two tower continue approach runway three one,thats it for today see you again in the next video,110.0
349,taxi between anchors via foxtrot oscar mike echo lima echo,taxi with girth via f c d e f o e f o,110.0
2410,climbing flight level three four zero request flight level three eight,clemings id like to see four zero over one zero id like to see eight,109.09
1501,praha radar csa two mike delta passing one thousand eight hundred,radar at the region you say two windows are passing oneeight zero zero,109.09
276,lot four one two six maintaining flight level two nine zero,thats one two six one two and thats about three nine zero for the descent please,109.09
2655,descend flight level one three zero wizz air four xray zulu,december one one tango hotel well be there reporting to you sir,109.09
2220,ruzyne tower csa four eight one we are established one three,were heading to csc for a drama of poland now we are established on,109.09
2308,line up and cleared takeoff runway three one speed bird eight five three,ill let michael in takeoff runway three one should we go down for the rest of the day,107.69
1211,csa seven two six praha radar contact climb flight level three one zero level by pisam,csc seven two six whiskey mike papa romeo echo alfa lima lima echo yankee contact console at three one zero goodbye tsm,106.25
1885,csa five papa charlie descend four thousand feet qnh one zero one nine report ready for visual,if you see a part of the channel it is on four zulu echo romeo oscar feet in xray one zero nine report ready for visual,105.88
624,air france one nine, ,100.0
2167,affirm proceed to padka,thank you very much,100.0
546,six seven two zero,please stay right for zero,100.0
2291,good bye,goodbye,100.0
758,left to venox csa seven three two two,cessna seven three two cessna seven three two cessna seven three two,100.0
2319,praha radar jobair,dot a dot,100.0
2133,swiss one two four bravo ruzyne tower,thank you for your attention,100.0
760,praha radar csa zero,rarararararaano see you soon,100.0
551,when ready descend flight level two nine zero csa eight zero five,ill have it at eight zero simple id love a two nine zero two three zero five,100.0
2310,brek,correct,100.0
2143,taxi via lima hotel juliett stand two, ,100.0
770,one three zero,once its all,100.0
2283,praha air berlin nine two six mike,radio roger were determining nine zero zero to six mike,100.0
2028,wings seven papa l,thanks a lot papa,100.0
2267,ups one four praha hello radar contact standby,bravo papa sierra one for bravo radar contact bye bye,100.0
544,csa nine seven, ,100.0
597,line up runway three one ready csa one zulu alfa,i promise you ill release you if you want to,100.0
2201,four double echo descending flight level three five zero to oscar kilo foxtrot, ,100.0
2177,sorry one two one nine, ,100.0
630,csa four mike bravo ruzyne tower roger,thank you for your attention,100.0
2022,bline two l, ,100.0
574,descend level nine zero one one nine zero csa two zulu alfa,you are welcome sir you are welcome you are welcome,100.0
2313,say seven six, ,100.0
629,seven five good bye,in the festival,100.0
2187,one two one nine csa eight eight one,go ahead go ahead go ahead,100.0
554,papa kilo papa sierra praha radar radar, ,100.0
2174,maintaining rate one thousand wizz air five two three,maintaining at least onezero zero zero visual points to face,100.0
673,one two five austrian three one se, ,100.0
671,ix zero, ,100.0
702,easy eight three whiskey golf descend flight level seven zero,echo zulu alfa tango risky goal of descent flight level of seven zero zero,100.0
731,one eight dec,well make the,100.0
2229,csa five delta romeo ready for next,thats the same five delta at a mile candidate for next,100.0
729,emirates four direct narka direct narka emirates four,mike lima hotel four direct narca direct narca mike lima hotel four,100.0
725,air france two fo, ,100.0
741,praha approach csa five zero nine,go ahead and approach charlie six one zero nine,100.0
588,praha good evening lufthansa,zaha good evening up on the,100.0
742,aero flot two eight two,yes thats all right,100.0
2068,turn right direct artup csa four eight zero,lieutenant arise direct romeo two its safe for alfa zero,100.0
716,ha radar lufth,how i dont,100.0
715,whiskey golf papa, ,100.0
713,tower csa six papa charlie ready,atc this is papa charlie wn heading in,100.0
2074,papa descend, ,100.0
2080,four,for,100.0
743,delta echo four three s,that will takeoff for chris,100.0
2050,lima, ,100.0
607,zero zero csa eight tango, ,100.0
695,holding short,quality chart,100.0
