Sample,Ground Truth,Prediction,WER
2367,from,from vlm,100.0
1884,bravo delta,praha delta mam,100.0
212,four thousand,seven four thousand one,100.0
1225,i do confirm,How do you confirm?,100.0
705,one second,romeo golf,100.0
258,oscar kilo lima india november,yanair nine alfa juliett oscar kilo lima november,100.0
2111,to fligh,clear to fly,100.0
828,hotel,bravo,100.0
1103,first left,affirm,100.0
2692,three,three hundred,100.0
2135,canforce,kenforce,100.0
2910,ready for departure,ive and fully ready for departure,100.0
663,reaching,one reaching,100.0
981,departure,departure sir,100.0
550,three seven fi,one eight three seven five,100.0
762,decimal nine beair five,decimal nine three three air fi,100.0
775,o speed restricti,speed bird xray,100.0
982,cleared ils,read arvek,100.0
1934,delta,ok,100.0
464,two five,two five and jet,100.0
2051,praha good,praha radar goo,100.0
120,baltu four,one four emirates,100.0
1948,bee line three seven,three one csa,100.0
91,at base,affirm,100.0
2396,one one eight one,romeo yankee sie,100.0
1000,to four,two four three,100.0
253,and foxtrot,foxtrot fiv,100.0
2402,approach runway,approach and wai,100.0
1047,zero nine five next call,ven eight five thanks a lot,100.0
2124,roger and,two two and,100.0
854,hotel yankee saint martin six five thousand feet for landing fato,air bianca yankee shamrock six five seven final message to departure arriving fato,90.91
349,taxi between anchors via foxtrot oscar mike echo lima echo,taxiing victor tango is via foxtrot oscar mike aero flot one four zero,90.0
1294,line up runway one three csa four ni,bravo yankee csa four nine five,87.5
1990,le golf de montana three thousand two hundred,lufthansa six thousand to oscar,87.5
1607,three four four four fourteen double echo bye,three four four zero berlin lima one four zero two bye,87.5
230,cleared to destination one two two bravo,klm three zero one two two bravo is squawked si,85.71
2679,start and push approved easy three,praha camber three eight easy s,83.33
1677,two to chance any short cut,two two you have any shortcut,83.33
2726,tact ground sky travel one zero,roger sky travel one five two f,83.33
2850,tower jetstar seven six three,heli charlie alfa seven sixty three,80.0
131,mike wait what i sa,mike mikvot eight si,80.0
590,flight level three hundred austrian,climb flight level three hundred austrian three two one,80.0
2006,to flight level one fo,direct to final one f,80.0
1420,holding short one three ready,golf holding short one three at delta still ready,80.0
2303,seven two seven good bye,bye bye,80.0
1166,zero knots air france one,cleared or not air france one zer,80.0
541,ready for push requesting push back beline seven z,ready for push request to push back air berlin two zero three,77.78
505,because runway one three via lima we stand delta,proceed to the holding point runway one three via lima with delta,77.78
1788,roger stop at holding,roger still being ready,75.0
999,prague controle air chin,praha control air china,75.0
2626,radar five four eight,praha lux air five four eight,75.0
2648,nine six nine one,praha romeo oscar nine six nine one,75.0
112,nine whiskey golf november,and wizz for november,75.0
1364,five zero final papa established on localizer runway,munich one zero seven papa establish on localizer runway three three,75.0
1855,praha go ahead ple,praha kolad three,75.0
1606,quality eight nine sierra,and quality eight nine sierra is l,75.0
896,three one beair five,b air five,75.0
409,affirm we are ready,affirm speed birdie,75.0
475,m five five tango,five thank you,75.0
1278,followed standard arrival track,hold standard bravo mike,75.0
381,one seventy till four,one seven three two four,75.0
346,good day bye bye,good day bye bye four nine eight,75.0
1429,start one engine and,praha one eighteen a,75.0
2225,one four zero austrian,one four zero austrian one zero o,75.0
2450,three one six five climbing two eight zero,german wings three one alfa out of two six five climbing two eight zero,75.0
735,foxtrot radar one eighty,and foxtrot quebec speed one eighty,75.0
276,lot four one two six maintaining flight level two nine zero,aero flot one two six maintaining flight level three nine zero for the descent three s,72.73
1988,romeo golf cotinue heading expect right tu,ryan air seven romeo golf continue heading expect right turn,71.43
232,from present to pribram descend one thousand qnh regional one zero one five,praha is that two three bravo descend one thousand eight zero qnh one zero one five,69.23
1974,zero clear ils,cleared ils,66.67
1761,praha radar fi,prague radar f,66.67
538,baltic triple two,baltic two four two,66.67
1533,call you back,kilo back,66.67
1928,two one zero,seven zero,66.67
2690,expediting speed reduction,expedite in speed reduction,66.67
1092,lufthansa seven three three approaching flight level three hundred,munich lufthansa seven eight three approaching flight level three hundred lufthansa seven eight three,66.67
2706,on a domal two bravo dep,on the delta to bravo de,66.67
1631,radar csa nine,heli charlie radar csa nine,66.67
1050,sky travel six,flight level six,66.67
2791,radar good eve,praha radar good ev,66.67
29,oger climb level,baltic climbing level,66.67
2039,wizz air four,wizz air four yankee mike,66.67
468,zero two se,csa zero two sev,66.67
17,five five four two negative sir,trian navy five five two negative so,66.67
466,sir morning lufthansa five one zero eight three passing,good morning this is air france one zero eight three requesting,66.67
2927,via golf stand six four jobair five one papa,via golf one six four austrian one three juliett juliett papa,66.67
2607,varik then kemad,direct kemad,66.67
1574,and iformation kilo,information kilo,66.67
731,one eight dec,romeo eight deci,66.67
719,lufthansa two hotel tango contact ground one two one nine good bye,lufthansa two hotel tango contact ground one two one nine good bye one two one nine bye two one eight,66.67
2031,one three two,air france one three two,66.67
1485,eight echo november,thank you eight echo november,66.67
319,en three alfa,three seven alfa,66.67
65,aero flot on,aero flot one one,66.67
2017,disregard nine zero only climb flight level nine ze,roger that nine zero onlyclimb flight nine zer,66.67
834,contact one three one three five zero victor romeo juliett seven hundred,hotel one three one three five zero via jet seven hundred inbound to cerno yankee,66.67
1422,ed qnh one,peed qnh one s,66.67
2465,time air s,time is ri,66.67
1259,five eight two,five victor,66.67
1177,zero air france,zero aero flot,66.67
1197,following down holding,slowing down within holding,66.67
2302,two zero zero two zero zero,two zero zerotwo zero zero bye bye,66.67
1120,clear to tel,cleared to ta,66.67
1328,vlasim jobair zero,vlm jobair zero f,66.67
2426,reducing to minimu,reducing kemad lima,66.67
1285,nor shuttle three five eight one,nor shuttle three five eight one we are holding now,66.67
1311,three correction five,three approaching papa,66.67
1268,hi three two cleared takeoff swiss ambulance six one,runway three two cleared to takeoff wizz air one nine six one,66.67
1113,rapet one tw,two rapet one two,66.67
296,kilo level three,kilo k level two,66.67
289,call you shortly,shortly,66.67
2088,flight level three three zero and is available direct,flight level three three zero and is one of the level is available for direct,66.67
2313,say seven six,csa seven six f,66.67
611,tower wizz air four xray zulu,ruzyne tower wizz air four xray zulu and miles out,66.67
1173,ryan air uniform echo go ahead,cleared for takeoff go ahead,66.67
1233,seven eight nine,seven eight nine thank you,66.67
182,clear to land runway three one,cleared to land runway three one copy wien klm,66.67
215,yeah apologize four whiskey yankee that s correct wizz air four whiskey yankee praha radar contact squawk fi,yeah polis is four whiskey yankee that s correct,66.67
201,jetstar nine twelve,jetstar northshuttel,66.67
1378,vo delta holding,hotel hotel holding,66.67
558,praha radar zero three seven descend flight level one seven zero,praha radar britair nine zero three good afternoon descend flight level one zero zero to goo-,63.64
127,left three four zero and will call estab,left three five zero and we re call of tan,62.5
332,fedex one request flight level three six zero,turn left to squawk five flight level three six zero,62.5
2783,to echo airspace easy four charlie bravo bye,ro three echo csa four charlie bravo,62.5
2784,austrian level one six three level two six,praha radar nor shuttle one six three three level two six,62.5
471,sion heli hotel bravo zulu charlie zulu we just upon val d annivier low altitude for hook mission established for one low altitude,charlie hotel bravo zulu charlie zulu just southbound one ninety at low altitude for the hook mission just climbing echo one kilo at speed,60.87
1248,clear takeoff runway three one swiss four seven three charlie,cleared takeoff runway three one swiss four seven eight charlie alfa charlie roger chanel,60.0
2696,three four four four zero four bravo mike bye bye,cleared to land one four zero two bravo mike bye bye navi,60.0
2592,runway two five cleared touch and go hotel echo xray,royal eight two five cimber tango hotel echo xray,60.0
484,csa three delta echo il,praha radar csa three delta echo higher,60.0
803,contract two romeo golf hello,contract romeo golf ruzyne tower hello,60.0
1358,climbing flight level one si,tango climbing flight level one six zer,60.0
514,continue five four nine seven,sydney five one nine,60.0
1203,fl three five zero inbound,flight level three five zero inbound vlm,60.0
1614,roger we ll give you,roger sir so we will give you,60.0
347,sixty miles touch down air france one,sixty miles to down to four two one,57.14
1814,r five four wizz air four romeo,one five four with four domi,57.14
1734,hansa two uniform xray down flight level,lufthansa two uniform xray rapet,57.14
1535,and one nine zero csa nine si,and one nine zero no speed csa six,57.14
1735,direct to isama beline five three delta,three two eight lima beline five three delta,57.14
884,three one air france one three two,cleared to land three one air france one three eight two,57.14
1910,ltitude four thousand qnh one zero two one c,turn on the four thousand feet qnh one zero two one,55.56
184,further climb approved again nav checker five one one,further climb approved again abrax at papa,55.56
176,four six three level three zero zero before rapet,cleared to climb eight four three level three zero zero before rapet,55.56
1002,nine zero speed two three zero wizz air five,climb flight level nine zero speed two three zero wizz air five mike ro,55.56
781,climb flight level three one zero yakutia seven one,climb flight level three one zero if we can say one more,55.56
632,roger confirm midland seven seven four decimal eight three,squawking two hundred and seven zero four decimal eight three,55.56
2553,hotel delta sierra descending flight level one seven zero on course to somis,approach good evening bee line eight hotel sierra descending flight level one seven zero on course to somis,53.85
1684,t direct,direct,50.0
2703,fully establish,fully established,50.0
2404,three four,three four zero,50.0
2400,sa nine two o,a nine two one,50.0
2573,ups two seven four level three five zer,good morning ryan air ups two seven four level three five zer,50.0
2507,nine zero,nine zero ascii,50.0
671,ix zero,six zero,50.0
144,ero direct somis csa eight seve,zero direct somis csa seven,50.0
2819,session call me praha say again,station calling praha say again,50.0
874,jetstar seven sixty three sydney to,jetstar seven three six three sydney tower,50.0
146,five tango,five tango alfa,50.0
26,tango three one three sion ground hello again taxi approved,tango three one three is on the run here again taxi approved,50.0
774,visual approach,approach,50.0
2326,vista jet four nine two no landing vacated own discretion,wizz air four nine two after landing vacate at own discretion,50.0
678,four line up runway,for line up runway o,50.0
822,cing csa five zero,ding csa five zer,50.0
2567,lining up runway two one runway,lining up runway three one via rapet,50.0
2734,lima hotel juliett stand two zero belin eight hotel sierra good day,lima hotel juliett stand two zero behind hotel sierra thank you very much good day,50.0
2435,ect to rapet skytrevel one zero three six,right to rapet sky travel one zero three si,50.0
707,oscar kilo hotel uni,k kilo hotel,50.0
64,one zero to somi,one zero two fo,50.0
2362,sa seven five z,three seven five,50.0
2672,praha good morning eurotran,praha good morning euro trans,50.0
760,praha radar csa zero,praha radar csa eight zero f,50.0
2613,lomki six romeo proceed lomki contract,lot three six romeo proceed to lomki contract,50.0
746,ready for departure cs,cleared for departure csa,50.0
1299,three zero air france,three zero alfa s,50.0
2235,twenty aero flot one,three zero aero flot one,50.0
2625,holding point runway one,holding clear runway one three,50.0
988,roger will check information,roger we ll check information,50.0
2574,tower hello channex ei,tower channex,50.0
831,s zero,six zero,50.0
751,st descend,descend,50.0
790,seven five,zero seven five,50.0
357,csa nine,csa nine s,50.0
1782,mike m,mike mike,50.0
1781,mirates two one fo,praha two one f,50.0
1472,two eight six no speed proceed to lyxa,csa two eight six no speed and proceed direct to elixa,50.0
1720,what altitude restriction do you mean,So what is the restriction do you mean,50.0
2203,heading three four zero,heading three four zero cleared to,50.0
2202,six zero confirm correct,three two zero confirm correct,50.0
465,one three three two eight five,one three three two eight five thank you juliett,50.0
1750,five romeo,mike romeo,50.0
1339,charlie c,charlie chalet,50.0
1416,four thousa,four thousand,50.0
1421,munich one,roger one,50.0
1995,two one nine speedb,one one nine sierra,50.0
535,tower good morning cimber,praha good morning camber,50.0
2074,papa descend,praha descend,50.0
1508,one three,one three f,50.0
1931,one two zero two seven five,one two zero two seven five two nine three,50.0
2046,say again frequency for,say again frequency number o,50.0
426,three one zero six eight papa,three one zero degrees six yankee alfa,50.0
1494,roger miles copied and four thousand,two bravo is copied and four thousand,50.0
1649,negative shamrock six seven xray quite heavy at,negative shamrock six seven xray is quite heavy in two minutes,50.0
1489,ground one two on,ground one five,50.0
545,affirm ready in the,affirm ready lufthansa,50.0
495,runway one three hello austrian seven,one three zero austrian sev,50.0
329,uniform switching one two one three three three,six yankee uniform swedestar one three three three,50.0
497,and any speed suggest,and any speed to zeph,50.0
1851,time four,time for,50.0
513,good morning,good morning wizz,50.0
2131,ing one six zero until fou,speed one six zero untill four,50.0
1874,sky travel six seven zero stand,flight level six seven zero austrian,50.0
1887,inbound pe,inbound cheb,50.0
382,then lima,lima,50.0
2028,wings seven papa l,manwings seven papa,50.0
394,zero eight zero degrees six knots clear to one three land austrian seven one zulu,wind zero eight zero degrees six knots cleared to land one three austrian seven one zulu we take papa,46.67
24,radar hello sky three one three maintain level three four zero,praha radar sky three one three maintaining level three four zero ils three,45.45
2424,and follow one romeo arrival for runway three one ils approa,and didn t follow vlm on romeo arrival for runway three one ils approach,45.45
2923,roger qnh one zero one eight easy eight three whiskey gol,five thousand qnh one zero one eight easy eight zero two go,45.45
175,tower good evening beline six one golf delta holding short runway,tower good evening bline six one juliett tower holding short on wai,45.45
2500,o kilo uniform india oscar kilo india uniform oscar,oscar kilo uniform india oscar kilo india uniform oscar navy nine one,44.44
174,ok we ll heading in zero nine zero degree,ok we ll make this around our heading in zero nine zero degree,44.44
2295,vista jet four six seven we expect to descend,swiss four six seven we are expecting to descend,44.44
1172,praha good day one three four five three makal,praha good day germania one three four five three four zero two makal,44.44
2289,request level three two zero due to light turbo,cleared to land level three two zero due to light turbule,44.44
447,one one eight one nine charlie lima bye bye,one one easy nine charlie lima thank you bye bye,44.44
152,eed two six zero knots five five alfa two,speed two six zero knots air france five four two,44.44
268,request flight level three two zero roger descend flight level three four correction three two zero,request flight level three three zero finn air eight zero seven mike roger descend flight level three four correction three two zero,43.75
2857,to romis qatari six zero five six,kilo romeo is qatari six zero five six,42.86
2100,tabin dir tabin direct el al three,climbing direct el al three,42.86
1714,number two at sequence currently free speed,november two at sequence climb to free speed,42.86
1321,direct to deget connie four zero five,direct to veget connie four zero air five two,42.86
580,ve decimal one three five aero flot,descend level one three five zero flot,42.86
34,maintain heading with the free free sp,maintain heading wizz air f free sp,42.86
2918,direct mikov aero flot two seven three,direct mikoc four two seven three,42.86
1407,aha radar good morning cargo lux seven,praha radar good morning klm seven,42.86
2163,germanwing seven five five proceed direct ra,german wings seven five five proceed direct rapet,42.86
1692,praha radar bee line three papa p,prague radar beline three papa p,42.86
177,ok we takeoff runway three one bri,ok we take off runway three one,42.86
2877,beair five five one left to baltu,b air five one one left to baltu,42.86
1569,three two one five five bye bye,three two one five five four oscar kilo bye bye,42.86
2697,hello praha this is the shamrock si,praha this is shamrock six,42.86
957,heading three six zero two one zero,heading three six zero ryan air three two one zero,42.86
98,o and intercept localizer runway three one,and intercept localizer runway for runway three one,42.86
2005,right via delta one two one ni,israel delta one two one,42.86
1881,praha controle hotel zulu mike foxtrot three would you descend it to three two,good morning hotel zulu mike foxtrot three with you descending to three tw,42.86
2579,uzyne groudn one two one decimal n,ogne ground one two one decimal ni,42.86
2079,praha good morning seven four nine leve,praha good morning aero flot seven four nine levar,42.86
2499,direct tomti wizz air five two three,that is tomti wizz air five two si,42.86
1089,about two two hotel one romeo golf radar contact climb flight level seven zero,baltu two hotel good evening contact romeo golf radar radar contact climb flight level seven zero,42.86
1387,praha radar wizz air five eight flight level done maybe sorry flight level is two four zero direct bepas,praha radar wizz air five five alfa november sorry maintaining flight level is three four zero direct papa,42.11
2339,hotel whiskey echo now three thousand two hundred feet and leave the command for seven thousand frequency change approved,hotel whiskey golf now three thousand one hundred feet and you are leaving the control zone foxtrot seven thousand frequency change approved,42.11
2707,roger we descend descend one hundred with the present speed or le,roger we descend to descend one alfa kilo present speed or lef,41.67
2325,yes and expect vectoring for base leg expect shortcut within a moment,yeah and expect vectoring for left base like expect shortcut is an within a moment,41.67
2188,one two stand time two six sky travel one zero three four,approved lufthansa six sky travel one zero three four,41.67
2602,cend flight level one tw,descend flight level one two,40.0
2611,shuttle one one four ze,decimal one one four zer,40.0
1621,six one eight standby push,six one eight standby for push back,40.0
501,from present proceed direct mik,from present proceed direct to si,40.0
953,swiss four seven three c,swiss four seven eight charlie,40.0
1304,runway one three cleared for,runway one three kilo,40.0
2309,via baltu two bravo depar,yeah baltu two bravo depa,40.0
2548,praha good morning malaysian private one level three two zero,praha good morning munich two five eight one level three two zero,40.0
2451,takeoff runway two four csa,cleared to takeoff runway two four csa,40.0
732,and sky shuttle one one four zero what is the reason for we already descen,and climb flight level one one four zero what is the reason for the oddity sir,40.0
1084,one bravo and one fo,bravo and one four,40.0
1246,scending flight level one one,descending flight level one,40.0
1451,mai present heading csa seven,present heading csa seven three,40.0
1440,three five one three five three whiskey w to praha,three five one three five two whiskey whiskey delta,40.0
1264,standing by singapoor two fi,standing by singapoore two five,40.0
2775,easy four nine six pa,ree four nine six,40.0
2136,thompson three seven nine cont,thomson three seven nine conti,40.0
1504,tower one one eight one,yekaterina tower one eight one,40.0
1623,we are becoming established yes,we re becoming established yet,40.0
1601,control bline five tango hotel flight level three three zero,control hello beline five tango alfa level three three zero,40.0
1633,romeo november five one o,hello november five one one,40.0
443,controle good afternoon hotel zulu,praha controle good afternoon hotel zulu oscar,40.0
866,three three eight six zero,three three eight six zero oscar lufthansa,40.0
2652,easy three eight papa golf now you are receive of,easy three eight papa golf now i received a,40.0
2678,vista jet four six seven,tujet four six seven,40.0
448,hotel alfa lima echo one four thousand six hundred feet,hotel alfa lima echo one four thousand feet on the sea,40.0
773,cending flight level two nine zero bluefin seven eight nine,descending flight level two nine zero to flight level eight nine,40.0
2631,three one kilo hotel runway three one cleared for takeoff,three one seven kilo k romeo three one cleared for takeoff ciao,40.0
2615,zero three golf no speed,two kilo golf no speed,40.0
451,reduce one ninety csa nine,and reduce one ninety csa nine s,40.0
1672,fthansa seven eight seven descendi,lufthansa seven eight seven descendu,40.0
1930,to hold delta fully ready for an immediate if cleared,h at the hold delta fully ready for immediate if cleared,40.0
62,level one three zero an,flight level one three zero a,40.0
900,praha two seven nine hotel,praha echo eight two seven nine hotel,40.0
1582,descend level two nine zer,descend flight level two nine zero,40.0
2808,long approach hotel papa bravo,Long approach hotel papa bravo.,40.0
2788,praha radar good day tsch,praha radar good day to r,40.0
430,five five six on the stand five two information november qnh one zero two three clear luton destination,fly five six one and stand five two information november qnh one zero two three request clearance to lufthansa destination,38.89
99,affirm ok great and the level cleared is not descend at three four,affirm ok great and the level you cleared is confirm is not standard three four,38.46
1150,praha good morning correction good evening sun express nine seven four flight level,praha praha good morning correction good evening sun express five seven four flight level four nine two,38.46
1176,line up runway three one cleared to land wind calm cleared to land,praha runway three one clear to land wind calm clear to land rosa,38.46
954,ntinue descending flight level seven zero wizz air,descend flight level seven zero wizz air f,37.5
993,one nine zero seven five one good bye,one nine zero wizz air five one one good bye,37.5
1210,proceed to mikov quality eight two five bravo,proceed to mikov quality eight zero romeo,37.5
2828,o kilo golf two zero five thank you,kilo golf lufthansa four two zero five thank you,37.5
396,foxtrot lima delta join downwind runway two five,foxtrot lima delta roger turn wind runway two five,37.5
1756,one four six seven beline one charlie lima,one two one six beline one charlie lima,37.5
1767,reducing speed one fifty csa five victor papa,reducing speed one sixty csa five mike zulu,37.5
952,one three four four seven five bye bye,one three four four seven five bye bye sierra alfa yankee,37.5
1565,radar jobair zero seven papa inbound vlm descen,radar jobair zero five one papa inbound vlm descen-,37.5
2779,two sixty or less csa three zero three,two six zero knots csa three zero three,37.5
1610,ten foxtrot flight level three five zero mavor,seven foxtrot flight level three four zero inboule,37.5
42,level one hundred oscar kilo papa mike bravo,hotel alfa november oscar kilo papa mike bravo,37.5
2408,holding short one three bline four zero victor,holding short one three bee line four two victor,37.5
1636,five juliett any speed restriction for us please,nine five juliett any speed restriction for oscar sierra,37.5
794,two kilo victor climb now level three four,and lufthansa two kilo victor climb now level three fou,37.5
1015,apron ready for start and clearance to bra,three thousand apron ready for start and clearance to cli,37.5
1575,back track to departure position opera three hun,direct to departure position opera three hundred,37.5
577,five two two squawking one four seven four climbing flight level,five jet zulu squawking one four seven four climbing flight three f,36.36
1229,to higher call radar one two zero decimal two seven five,to high echo radar one two zero decimal two seven five or less,36.36
154,going to one three four eight seven five sierra s tango,climbing to one three four eight seven five ahoj zero zero tango,36.36
1315,tower one eight one beline eight hotel sierra thank you bye,ruzyne one eight tower one eight one bline eight hotel sierra thank you bye,36.36
2591,canforce one si correction four one six four proceed to pepi,kenforce one zr four one six four proceed to pepik,36.36
1283,information november and we fly level two one zero inbound dobel,information november and we re flight level two one zero inbound to domo,36.36
1618,proceeding direct to lyss hotel oscar yankee and looking out for helicopter near inselspital,proceeding direct to lis hotel oscar yankee and looking out for the helicopter here in swedestar,35.71
1878,one eighty or less right two nine zero descending three thousand five hundred cs,one eight or less right two nine zero wizz air seven five hundred csa,35.71
528,climb flight level three four zero three nine zero pepik expect three eight zero,climb flight level three four zero and request level three nine zero pepik expect three eight zero thank you,35.71
1581,giving a way to the boeing and changing to one two one decimal nine,cleared to vacate and changing to one two one decimal nine,35.71
2743,radar hello four tango whiskey flight level three five zero on whiskey lima mike,radar hello wizz air four tango whiskey approaching three five zero november whiskey lima mike,35.71
739,one three four five six zero time air six nine zero juliett bye diky,air france one three four five six zero time air six nine zero juliett mike thank you,35.71
609,descending flight level three one zero level in by lanux one four double echo,descending flight level two one zero left heading by lanux lufthansa one four papa echo,35.71
27,start and pushback approved cleared to antalya one bravo and squawk one four zero,praha pushback approved cleared to atalia voz one bravo and squawk one four zero t,35.71
1515,india can see your requested flight level one three zero so climb flight level one three zero,eight nine sierra you can see us requested flight level one three zero only so climb flight level one three zero,35.29
963,fsa five zero nine do you prefer to descend echo airspace csa five zero nine at vmc,csa five zero nine do you prefer to descend echo airspace correct csa five zero nine csa five zero ni,35.29
2538,ready for desc,ready for decei,33.33
2491,easy six six yankee just follow info approaching traffic still one and half minute to touch down and call you behind,csa six yankee just for your info approaching traffic still one and half minute to touchdown and call you behi,33.33
405,rapet thank you,praha thank you,33.33
402,aero flot one four eight nine zero two five,one four nine zero two five,33.33
121,k uniform november,kilo uniform november,33.33
2505,vadov direct austrian one two four,line up direct austrian one two four,33.33
1845,ing two thousand,off two thousand,33.33
400,sky travel one one zero two,flight level one one zero two,33.33
361,praha ups one four flight level three one zero request flight level three three zero,ups one four is checking with you flight level three one zero request flight level three three zero,33.33
1873,india papa csa seven alfa juliett,via papa csa seven alfa two,33.33
2371,one eighteen o,one eighteen one,33.33
1825,ceed direct elmek,direct elmek,33.33
770,one three zero,one two zero,33.33
142,one two one zero five five lufthansa six tango yankee have good night bye thank you thank you,one two one zero five five lufthansa six tango uniform have a good night and bye bye thank you stand two thank you,33.33
2566,good day at two hotel tango,cleared at two hotel tango,33.33
1817,cleared for visual approach three two delta alfa uniform,approach approach three two delta alfa uniform,33.33
412,praha controle good morning five four,praha controle good morning scandinavian five fou,33.33
2375,praha radar ukraine charter five nine,praha radar ukraineian two five nine,33.33
277,ne two zero,one two zero,33.33
835,five good bye,good bye,33.33
359,direct agava lufthansa one papa kilo,praha radar lufthansa one papa kilo,33.33
2456,three nine tw,three nine two,33.33
1804,thank you expedite and cross delta,ok expedite and cross delta,33.33
1124,present heading and descending altitude four thousand qnh one zero two two,hotel eight echo november descending altitude four thousand qnh one zero two two,33.33
2412,praha radar oscar kilo alfa lima zulu proceeding to,praha radar oscar kilo alfa lima zulu proceeding direct oscar klm,33.33
192,six two three,ix two three,33.33
1764,roger squawk four four zero four,roger that is squawk four four zero four,33.33
2393,wien three four four four zero bye alitalia four nine one tha,yes three four four four zero bye italian four nine one thank you,33.33
2392,nine ruzyne tower,nine ruzyne tower dob,33.33
2032,ruzyne tower cs,ruzyne tower csa,33.33
1799,departure swiss four seven three charlie two eight hun,roger swiss four seven three charlie downwind two eight hunc,33.33
116,november five one one we are reaching five thou,hello romeo november five one one we are reaching five thousand,33.33
2913,cleared takeoff run,cleared takeoff romeo,33.33
2055,lufthansa seven two seven understand direct to landu correct o thank you,lufthansa seven two seven can you stand direct to landu correct thank you,33.33
113,cept localizer runway,cept localizer romeo,33.33
2616,november bye bye,vember bye bye,33.33
2622,hotel golf papa frequency change approved bis spater ciao,hotel golf papa frequency change approved speed at yangtze,33.33
2661,fl three zero zero austrian three zero five november,climb level three zero zero austrian three one five november,33.33
1997,good evening three eight papa golf,control good evening easy three eight papa golf,33.33
2814,roger maintaining one seven five vectors for the ils runway three one nor shuttle three five eight zero,right heading one seven five vectors further and the ils runway three one northshuttel three five eight zero,33.33
2114,sky travel one,sky travel on,33.33
2721,high speed s,high speed abr,33.33
18,bratislava one three four decimal four seven five xanadu two zero zero nine bye bye,prague is level one three four decimal four seven five german wings two zero zero nine bye bye,33.33
878,one nine oscar,one nine zero oscar,33.33
278,sky travel one one nine two one four bra,sky travel one one nine two once again,33.33
2812,thank you very much continue the present heading quali,five thank you very much continue on the present heading calli,33.33
305,zulu bye bye,bye bye,33.33
1758,prhaa approach csa nine one se,praha approach csa nine one sev,33.33
2061,who was calling,it was calling,33.33
421,ind two one zero degrees tw,wind two one zero degrees sev,33.33
2569,praha radar spee,praha radar speedb,33.33
1989,r seven five,four seven five,33.33
596,two victor charlie,to victor charlie,33.33
413,ruzyne tower oscar kilo papa india alfa radial now,ruzyne tower oscar kilo papa india alfa ready on board,33.33
1064,cleared to la,cleared to land,33.33
1263,ruzyne hello speed bird eight s,presenting hello speed bird eight,33.33
