Sample,Ground Truth,Prediction,WER
658,lufthansa two juliett whiskey behind landing traffic short final dash line up runway three one behind,and now the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of the final round of,2781.25
1604,three four four four fourteen double echo bye,okay four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four,2750.0
2152,lining up run runway one three csa,pilot one two pilot two two pilot three two pilot four two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five two pilot five,2714.29
910,delta two ten good morning tower continue approach runway three one,good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning morning good morning good morning good morning good morning good morning morning good morning good morning morning good morning good morning good morning morning good morning good morning morning good morning good morning morning good morning good morning morning good morning good morning morning good morning good morning morning good morning good morning morning,2654.55
1485,oscar echo mike echo papa praha radar radar contact contact,lets go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go go,2230.0
481,climbing level two two zero jobair zero five one papa,climb level two two zero jupiter zero decimal one papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa papa pap,2210.0
79,cleared for takeoff runway one three csa four delta romeo,papa four tango runway one three accession on csa pod a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d a d,2200.0
573,descend level nine zero one one nine zero csa two zulu alfa,copy were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on india nine were on,2108.33
2229,emirates one four zero heavy praha radar hello radar contact climb flight level one two zero,air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic control air traffic,2093.75
909,papa kilo papa sierra contact karlovy vary approach one one nine decimal nine five,kilo alfa lima papa alfa papa alfa kilo india lima oscar papa alfa papa alfa cena contact can livery approach one one nine decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one decimal nine ratis one,2092.86
2760,one nine zero one one nine zero csa five delta romeo,one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one,2000.0
341,good evening sky travel one zero three seven ruzyne tower runway one three,crenex crenex crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex runway one three crenex,1892.31
2630,swedestar eight eight seven ruzyne tower good afternoon roger hold short of runway one three landing traffic,good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon afternoon good afternoon good afternoon good afternoon afternoon good afternoon good afternoon afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon good afternoon,1888.24
1109,ascot six six three nine praha radar contact,atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc,1862.5
2046,praha radar jet airways one one nine good morning maintaining flight level three three zero direct to inita,good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning good morning morning good morning good morning good morning good morning morning good morning good morning morning good morning good morning morning good morning good morning morning good morning morning good morning morning good morning morning good morning morning good morning morning good morning morning good morning morning,1622.22
1627,one one eight three seven five csa five alfa juliett,atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc atc,1490.0
